timeline,ᆨ,ᆩ,ᆪ,ᆫ,ᆬ,ᆭ,ᆮ,ᆯ,ᆰ,ᆱ,ᆲ,ᆳ,ᆴ,ᆵ,ᆶ,ᆷ,ᆸ,ᆹ,ᆺ,ᆻ,ᆼ,ᆽ,ᆾ,ᆿ,ᇀ,ᇁ,ᇂ,ᇃ,ᇄ,ᇅ,ᇆ,ᇇ,ᇈ,ᇉ,ᇊ,ᇋ,ᇌ,ᇍ,ᇎ,ᇏ,ᇐ,ᇑ,ᇒ,ᇓ,ᇔ,ᇕ,ᇖ,ᇗ,ᇘ,ᇙ,ᇚ,ᇛ,ᇜ,ᇝ,ᇞ,ᇟ,ᇠ,ᇡ,ᇢ,ᇣ,ᇤ,ᇥ,ᇦ,ᇧ,ᇨ,ᇩ,ᇪ,ᇫ,ᇬ,ᇭ,ᇮ,ᇯ,ᇰ,ᇱ,ᇲ,ᇳ,ᇴ,ᇵ,ᇶ,ᇷ,ᇸ,ᇹ,ᇺ,ᇻ,ᇼ,ᇽ,ᇾ,ᇿ
15C,102016,0,87,304154,0,0,22588,226834,863,483,563,2314,0,3,138,64552,60740,145,50006,3,245122,30,7,0,15,12,0,0,0,0,10,632,2,0,0,0,1,0,0,0,0,0,0,3,0,1,0,5,0,13021,0,0,2,1423,0,3,0,0,9176,0,0,0,0,0,0,0,0,256,0,0,0,0,35890,50,0,0,0,0,0,0,0,3,0,0,0,0,0,0
16C,19059,0,4,60067,0,1,5068,53926,355,25,289,192,0,0,3,20051,8395,2,11418,1,30850,5,0,0,3,1,0,0,0,0,6,74,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,134,0,0,0,43,0,0,0,0,5,2,0,0,0,0,0,0,0,9,0,0,0,0,4475,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enlightenment,139247,4,3,439147,1,4,38,373004,1822,64,790,11,0,0,0,124882,65612,18,132011,138,255036,66,7,16,17,17,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,16,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
modern,94644,1,38,273907,5,1,9103,233888,2453,137,1365,1032,0,1,0,83996,37463,31,71398,67,167114,10,4,1,16,10,5,10,0,0,0,147,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,12,0,0,1,1,0,0,1,2,0,0,0,0,227,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
