timeline,ᆨᄋ,ᆩᄋ,ᆪᄋ,ᆫᄋ,ᆬᄋ,ᆭᄋ,ᆮᄋ,ᆯᄋ,ᆰᄋ,ᆱᄋ,ᆲᄋ,ᆳᄋ,ᆴᄋ,ᆵᄋ,ᆶᄋ,ᆷᄋ,ᆸᄋ,ᆹᄋ,ᆺᄋ,ᆻᄋ,ᆼᄋ,ᆽᄋ,ᆾᄋ,ᆿᄋ,ᇀᄋ,ᇁᄋ,ᇂᄋ,ᇃᄋ,ᇄᄋ,ᇅᄋ,ᇆᄋ,ᇇᄋ,ᇈᄋ,ᇉᄋ,ᇊᄋ,ᇋᄋ,ᇌᄋ,ᇍᄋ,ᇎᄋ,ᇏᄋ,ᇐᄋ,ᇑᄋ,ᇒᄋ,ᇓᄋ,ᇔᄋ,ᇕᄋ,ᇖᄋ,ᇗᄋ,ᇘᄋ,ᇙᄋ,ᇚᄋ,ᇛᄋ,ᇜᄋ,ᇝᄋ,ᇞᄋ,ᇟᄋ,ᇠᄋ,ᇡᄋ,ᇢᄋ,ᇣᄋ,ᇤᄋ,ᇥᄋ,ᇦᄋ,ᇧᄋ,ᇨᄋ,ᇩᄋ,ᇪᄋ,ᇫᄋ,ᇬᄋ,ᇭᄋ,ᇮᄋ,ᇯᄋ,ᇰᄋ,ᇱᄋ,ᇲᄋ,ᇳᄋ,ᇴᄋ,ᇵᄋ,ᇶᄋ,ᇷᄋ,ᇸᄋ,ᇹᄋ,ᇺᄋ,ᇻᄋ,ᇼᄋ,ᇽᄋ,ᇾᄋ,ᇿᄋ
15C,19539,0,0,44878,0,0,77,27926,55,0,4,6,0,0,18,10215,10034,5,308,1,51843,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,653,0,0,0,2,0,0,0,0,985,0,0,0,0,0,0,0,0,130,0,0,0,0,2725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16C,4019,0,0,8297,0,1,179,10157,59,0,4,0,0,0,0,8573,1286,1,108,0,7995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enlightenment,39910,1,2,80801,1,1,11,64072,1117,53,92,0,0,0,0,53785,15272,3,12409,90,77983,6,5,4,8,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
modern,24653,1,0,44478,0,1,219,40851,829,0,29,7,0,0,0,34725,7954,4,2513,63,45796,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
