timeline,ᆨᄋ,ᆩᄋ,ᆪᄋ,ᆫᄋ,ᆬᄋ,ᆭᄋ,ᆮᄋ,ᆯᄋ,ᆰᄋ,ᆱᄋ,ᆲᄋ,ᆳᄋ,ᆶᄋ,ᆷᄋ,ᆸᄋ,ᆹᄋ,ᆺᄋ,ᆻᄋ,ᆼᄋ,ᆽᄋ,ᆾᄋ,ᆿᄋ,ᇀᄋ,ᇁᄋ,ᇂᄋ,ᇇᄋ,ᇕᄋ,ᇙᄋ,ᇝᄋ,ᇢᄋ,ᇣᄋ,ᇫᄋ,ᇰᄋ,ᇱᄋ
15C,19539,0,0,44878,0,0,77,27926,55,0,4,6,18,10215,10034,5,308,1,51843,1,0,0,4,0,0,0,1,653,2,985,0,130,2725,0
16C,4019,0,0,8297,0,1,179,10157,59,0,4,0,0,8573,1286,1,108,0,7995,0,0,0,0,0,0,0,0,1,0,0,0,8,1057,1
enlightenment,39910,1,2,80801,1,1,11,64072,1117,53,92,0,0,53785,15272,3,12409,90,77983,6,5,4,8,6,4,1,0,0,0,0,2,0,1,0
modern,24653,1,0,44478,0,1,219,40851,829,0,29,7,0,34725,7954,4,2513,63,45796,0,0,1,6,2,0,0,0,0,0,0,1,0,51,0
