timeline,ᆨᄋ,ᆩᄋ,ᆪᄋ,ᆫᄋ,ᆬᄋ,ᆭᄋ,ᆮᄋ,ᆯᄋ,ᆰᄋ,ᆱᄋ,ᆲᄋ,ᆳᄋ,ᆴᄋ,ᆵᄋ,ᆶᄋ,ᆷᄋ,ᆸᄋ,ᆹᄋ,ᆺᄋ,ᆻᄋ,ᆼᄋ,ᆽᄋ,ᆾᄋ,ᆿᄋ,ᇀᄋ,ᇁᄋ,ᇂᄋ,ᇃᄋ,ᇄᄋ,ᇅᄋ,ᇆᄋ,ᇇᄋ,ᇈᄋ,ᇉᄋ,ᇊᄋ,ᇋᄋ,ᇌᄋ,ᇍᄋ,ᇎᄋ,ᇏᄋ,ᇐᄋ,ᇑᄋ,ᇒᄋ,ᇓᄋ,ᇔᄋ,ᇕᄋ,ᇖᄋ,ᇗᄋ,ᇘᄋ,ᇙᄋ,ᇚᄋ,ᇛᄋ,ᇜᄋ,ᇝᄋ,ᇞᄋ,ᇟᄋ,ᇠᄋ,ᇡᄋ,ᇢᄋ,ᇣᄋ,ᇤᄋ,ᇥᄋ,ᇦᄋ,ᇧᄋ,ᇨᄋ,ᇩᄋ,ᇪᄋ,ᇫᄋ,ᇬᄋ,ᇭᄋ,ᇮᄋ,ᇯᄋ,ᇰᄋ,ᇱᄋ,ᇲᄋ,ᇳᄋ,ᇴᄋ,ᇵᄋ,ᇶᄋ,ᇷᄋ,ᇸᄋ,ᇹᄋ,ᇺᄋ,ᇻᄋ,ᇼᄋ,ᇽᄋ,ᇾᄋ,ᇿᄋ
15C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enlightenment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
modern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
